dateTime,value
11/06/16 00:00:00,"{'date': '11/06/16', 'value': 63.263068199157715, 'error': 6.787104606628418}"
11/07/16 00:00:00,"{'date': '11/07/16', 'value': 63.23110580444336, 'error': 6.787093162536621}"
11/08/16 00:00:00,"{'date': '11/08/16', 'value': 63.4865083694458, 'error': 10.699850082397461}"
11/09/16 00:00:00,"{'date': '11/09/16', 'value': 63.0024528503418, 'error': 7.924251556396484}"
11/10/16 00:00:00,"{'date': '11/10/16', 'value': 61.25406074523926, 'error': 7.149294853210449}"
11/11/16 00:00:00,"{'date': '11/11/16', 'value': 60.22671604156494, 'error': 6.905632972717285}"
11/12/16 00:00:00,"{'date': '11/12/16', 'value': 62.067450523376465, 'error': 6.826224327087402}"
11/13/16 00:00:00,"{'date': '11/13/16', 'value': 61.79158592224121, 'error': 6.800045013427734}"
11/14/16 00:00:00,"{'date': '11/14/16', 'value': 63.170878410339355, 'error': 6.791380882263184}"
11/15/16 00:00:00,"{'date': '11/15/16', 'value': 63.08823013305664, 'error': 6.788510322570801}"
11/16/16 00:00:00,"{'date': '11/16/16', 'value': 63.12409973144531, 'error': 6.787558555603027}"
11/17/16 00:00:00,"{'date': '11/17/16', 'value': 62.33518028259277, 'error': 6.787243843078613}"
11/18/16 00:00:00,"{'date': '11/18/16', 'value': 62.69238090515137, 'error': 6.787138938903809}"
11/19/16 00:00:00,"{'date': '11/19/16', 'value': 64.73683071136475, 'error': 8.318549156188965}"
11/20/16 00:00:00,"{'date': '11/20/16', 'value': 63.34976577758789, 'error': 7.268325805664062}"
11/21/16 00:00:00,"{'date': '11/21/16', 'value': 62.596628189086914, 'error': 6.943927764892578}"
11/22/16 00:00:00,"{'date': '11/22/16', 'value': 62.631855964660645, 'error': 6.838796615600586}"
11/23/16 00:00:00,"{'date': '11/23/16', 'value': 62.62276268005371, 'error': 6.804200172424316}"
11/24/16 00:00:00,"{'date': '11/24/16', 'value': 64.40484714508057, 'error': 9.068559646606445}"
11/25/16 00:00:00,"{'date': '11/25/16', 'value': 65.14741897583008, 'error': 7.486123085021973}"
11/26/16 00:00:00,"{'date': '11/26/16', 'value': 64.53253364562988, 'error': 7.013167381286621}"
11/27/16 00:00:00,"{'date': '11/27/16', 'value': 63.7650842666626, 'error': 6.8614397048950195}"
11/28/16 00:00:00,"{'date': '11/28/16', 'value': 65.38328456878662, 'error': 6.811673164367676}"
11/29/16 00:00:00,"{'date': '11/29/16', 'value': 67.00675106048584, 'error': 6.795231819152832}"
11/30/16 00:00:00,"{'date': '11/30/16', 'value': 67.49022006988525, 'error': 6.789786338806152}"
12/01/16 00:00:00,"{'date': '12/01/16', 'value': 67.35273265838623, 'error': 10.702069282531738}"
12/02/16 00:00:00,"{'date': '12/02/16', 'value': 64.44564151763916, 'error': 7.924817085266113}"
12/03/16 00:00:00,"{'date': '12/03/16', 'value': 63.56513690948486, 'error': 7.149468421936035}"
12/04/16 00:00:00,"{'date': '12/04/16', 'value': 64.59504985809326, 'error': 6.905689239501953}"
12/05/16 00:00:00,"{'date': '12/05/16', 'value': 63.58305263519287, 'error': 6.8262434005737305}"
12/06/16 00:00:00,"{'date': '12/06/16', 'value': 64.10538101196289, 'error': 6.800051689147949}"
12/07/16 00:00:00,"{'date': '12/07/16', 'value': 64.55731105804443, 'error': 10.710527420043945}"
12/08/16 00:00:00,"{'date': '12/08/16', 'value': 64.33691501617432, 'error': 7.926970481872559}"
12/09/16 00:00:00,"{'date': '12/09/16', 'value': 64.87055778503418, 'error': 7.150127410888672}"
12/10/16 00:00:00,"{'date': '12/10/16', 'value': 64.55501079559326, 'error': 6.905901908874512}"
12/11/16 00:00:00,"{'date': '12/11/16', 'value': 63.783392906188965, 'error': 6.826313018798828}"
12/12/16 00:00:00,"{'date': '12/12/16', 'value': 64.14426612854004, 'error': 6.800074577331543}"
12/13/16 00:00:00,"{'date': '12/13/16', 'value': 64.36702156066895, 'error': 6.791391372680664}"
12/14/16 00:00:00,"{'date': '12/14/16', 'value': 64.90577220916748, 'error': 6.788514137268066}"
12/15/16 00:00:00,"{'date': '12/15/16', 'value': 64.61817455291748, 'error': 6.78756046295166}"
12/16/16 00:00:00,"{'date': '12/16/16', 'value': 63.82935905456543, 'error': 6.787243843078613}"
12/17/16 00:00:00,"{'date': '12/17/16', 'value': 63.94573783874512, 'error': 6.787138938903809}"
12/18/16 00:00:00,"{'date': '12/18/16', 'value': 64.7615966796875, 'error': 6.787104606628418}"
12/19/16 00:00:00,"{'date': '12/19/16', 'value': 64.14888668060303, 'error': 10.962817192077637}"
12/20/16 00:00:00,"{'date': '12/20/16', 'value': 63.23185348510742, 'error': 7.990693092346191}"
12/21/16 00:00:00,"{'date': '12/21/16', 'value': 62.56212902069092, 'error': 7.16957950592041}"
12/22/16 00:00:00,"{'date': '12/22/16', 'value': 60.23782730102539, 'error': 7.784084320068359}"
12/23/16 00:00:00,"{'date': '12/23/16', 'value': 57.59961128234863, 'error': 7.106195449829102}"
12/24/16 00:00:00,"{'date': '12/24/16', 'value': 58.33300590515137, 'error': 6.8916873931884775}"
12/25/16 00:00:00,"{'date': '12/25/16', 'value': 58.93810749053955, 'error': 10.95315933227539}"
12/26/16 00:00:00,"{'date': '12/26/16', 'value': 60.73983192443848, 'error': 7.988272666931152}"
12/27/16 00:00:00,"{'date': '12/27/16', 'value': 59.21091270446777, 'error': 7.168842315673828}"
12/28/16 00:00:00,"{'date': '12/28/16', 'value': 60.149895668029785, 'error': 6.911944389343262}"
12/29/16 00:00:00,"{'date': '12/29/16', 'value': 60.714579582214355, 'error': 10.818224906921387}"
12/30/16 00:00:00,"{'date': '12/30/16', 'value': 60.78742599487305, 'error': 7.954296112060547}"
12/31/16 00:00:00,"{'date': '12/31/16', 'value': 61.56550979614258, 'error': 7.158478736877441}"
01/01/17 00:00:00,"{'date': '01/01/17', 'value': 62.89876174926758, 'error': 6.908598899841309}"
01/02/17 00:00:00,"{'date': '01/02/17', 'value': 61.43947410583496, 'error': 6.8271989822387695}"
01/03/17 00:00:00,"{'date': '01/03/17', 'value': 61.768911361694336, 'error': 10.732888221740723}"
01/04/17 00:00:00,"{'date': '01/04/17', 'value': 60.75391101837158, 'error': 7.932659149169922}"
01/05/17 00:00:00,"{'date': '01/05/17', 'value': 61.197569847106934, 'error': 7.151866912841797}"
01/06/17 00:00:00,"{'date': '01/06/17', 'value': 59.49544715881348, 'error': 6.906463623046875}"
01/07/17 00:00:00,"{'date': '01/07/17', 'value': 60.753302574157715, 'error': 6.8264970779418945}"
01/08/17 00:00:00,"{'date': '01/08/17', 'value': 61.746131896972656, 'error': 6.8001346588134775}"
01/09/17 00:00:00,"{'date': '01/09/17', 'value': 61.40843677520752, 'error': 6.791411399841309}"
01/10/17 00:00:00,"{'date': '01/10/17', 'value': 60.91518306732178, 'error': 6.788520812988281}"
01/11/17 00:00:00,"{'date': '01/11/17', 'value': 60.51436901092529, 'error': 6.787562370300293}"
01/12/17 00:00:00,"{'date': '01/12/17', 'value': 60.784568786621094, 'error': 6.78724479675293}"
01/13/17 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
01/14/17 00:00:00,"{'date': '01/14/17', 'value': 59.117218017578125, 'error': 7.107172012329102}"
01/15/17 00:00:00,"{'date': '01/15/17', 'value': 58.45353984832764, 'error': 6.892004013061523}"
