id,date,routine,category,exercise,sets,reps,volume,one_rep_max
53,2015-01-02,,Abs,Undefined Ab Workout,1,1,1.0,1
54,2015-01-03,,Legs,Dumbbell Lunges,3,30,1550.0,73
55,2015-01-05,,Chest,Flat Dumbbell Bench Press,6,60,3450.0,80
56,2015-01-06,,Back,Deadlift,4,40,5200.0,180
56,2015-01-06,,Back,Lat Pulldown,3,30,4200.0,186
56,2015-01-06,,Back,Pull Up,3,20,20.0,1
56,2015-01-06,,Shoulders,Rear Delt Machine Fly,4,48,3900.0,119
57,2015-01-09,,Back,Deadlift,1,10,1300.0,173
57,2015-01-09,,Legs,Dumbbell Lunges,4,40,2150.0,73
57,2015-01-09,,Back,Dumbbell Row,3,30,1500.0,66
57,2015-01-09,,Abs,Undefined Ab Workout,1,1,1.0,1
58,2015-01-12,,Chest,Flat Dumbbell Bench Press,2,20,1000.0,66
59,2015-01-13,,Abs,Undefined Ab Workout,1,1,1.0,1
60,2015-02-15,,Back,Dumbbell Curl,5,30,870.0,40
60,2015-02-15,,Chest,Flat Dumbbell Bench Press,8,65,2965.0,66
61,2015-03-03,,Back,Lat Pulldown,9,81,9700.0,173
62,2015-03-15,,Legs,Dumbbell Calf Raise,5,50,4500.0,120
62,2015-03-15,,Legs,Dumbbell Lunges,3,30,1350.0,60
62,2015-03-15,,Legs,Hip Abduction,3,30,5250.0,233
62,2015-03-15,,Legs,Hip Adduction,3,30,1950.0,86
64,2015-03-18,,Abs,Undefined Ab Workout,1,1,1.0,1
65,2015-03-19,,Shoulders,Dumbbell Shoulder Press,3,24,720.0,38
65,2015-03-19,,Chest,Flat Barbell Bench Press,4,28,3970.0,180
66,2015-03-20,,Cooldown,Cooldown And Stretch,1,1,1.0,1
67,2015-03-21,,Back,Dumbbell Hammer Curl,3,25,525.0,29
67,2015-03-21,,Back,Lat Pulldown,6,50,6760.0,186
68,2015-03-24,,Legs,Dumbbell Calf Raise,5,50,5000.0,133
68,2015-03-24,,Legs,Dumbbell Lunges,4,40,1800.0,66
68,2015-03-24,,Legs,Hip Abduction,3,30,5400.0,240
68,2015-03-24,,Legs,Hip Adduction,3,30,2100.0,93
69,2015-03-27,,Chest,Flat Dumbbell Bench Press,6,45,2125.0,73
70,2015-03-28,,Back,Dumbbell Hammer Curl,4,22,495.0,30
70,2015-03-28,,Back,Lat Pulldown,3,30,4400.0,200
70,2015-03-28,,Back,Pull Up,3,8,8.0,1
70,2015-03-28,,Back,Seated Cable Row,3,30,3200.0,146
71,2015-06-20,,Back,Dumbbell Curl,4,40,1250.0,46
71,2015-06-20,,Legs,Dumbbell Lunges,4,40,1850.0,66
71,2015-06-20,,Chest,Rope Push Down,4,40,3200.0,120
72,2015-06-21,,Back,Dumbbell Curl,4,40,1300.0,46
72,2015-06-21,,Shoulders,Dumbbell Shoulder Press,4,40,1300.0,46
73,2015-06-22,,Back,Dumbbell Row,4,40,1600.0,60
73,2015-06-22,,Chest,Flat Dumbbell Bench Press,4,40,1950.0,66
73,2015-06-22,,Chest,Incline Dumbbell Bench Press,4,40,1700.0,60
73,2015-06-22,,Back,Lat Pulldown,4,40,5300.0,186
74,2015-06-24,,Legs,Barbell Squat,2,20,2100.0,153
74,2015-06-24,,Legs,Leg Press,4,40,9900.0,360
75,2015-07-24,,Back,Dumbbell Row,4,40,2200.0,80
75,2015-07-24,,Chest,Flat Barbell Bench Press,3,16,2510.0,192
75,2015-07-24,,Chest,Flat Dumbbell Bench Press,4,40,2050.0,73
75,2015-07-24,,Back,Lat Pulldown,4,30,4050.0,186
76,2015-07-25,,Legs,Dumbbell Calf Raise,4,40,4800.0,160
76,2015-07-25,,Back,Dumbbell Curl,3,30,1000.0,46
76,2015-07-25,,Legs,Dumbbell Lunges,4,40,1950.0,66
76,2015-07-25,,Back,Pull Up,3,10,10.0,1
76,2015-07-25,,Chest,Rope Push Down,2,20,1400.0,93
77,2015-07-26,,Shoulders,Dumbbell Shoulder Press,4,40,1600.0,60
77,2015-07-26,,Back,Lat Pulldown,4,40,5900.0,200
77,2015-07-26,,Shoulders,Lateral Dumbbell Raise,1,10,175.0,23
78,2015-07-27,,Back,Dumbbell Curl,4,31,1005.0,45
78,2015-07-27,,Back,Pull Up,3,10,10.0,1
78,2015-07-27,,Chest,Rope Push Down,4,40,3100.0,106
79,2015-07-29,,Back,Deadlift,4,31,4545.0,209
80,2015-10-17,,Back,Dumbbell Row,3,30,1350.0,60
80,2015-10-17,,Chest,Flat Dumbbell Bench Press,3,30,1500.0,66
80,2015-10-17,,Chest,Incline Dumbbell Bench Press,3,30,1050.0,46
80,2015-10-17,,Back,Lat Pulldown,3,30,3800.0,173
81,2015-11-01,,Back,Dumbbell Row,3,30,1350.0,60
81,2015-11-01,,Chest,Flat Dumbbell Bench Press,3,30,1500.0,66
82,2015-12-22,,Chest,Flat Barbell Bench Press,5,25,3825.0,180
82,2015-12-22,,Chest,Flat Dumbbell Bench Press,7,65,2070.0,52
82,2015-12-22,,Chest,Flat Dumbbell Fly,4,48,1500.0,49
82,2015-12-22,,Chest,Seated Machine Fly,5,53,4670.0,151
83,2015-12-23,,Back,Barbell Curl,5,48,2400.0,70
83,2015-12-23,,Back,Barbell Row,4,44,2860.0,91
85,2015-12-26,,Back,Barbell Shrug,4,48,4560.0,133
85,2015-12-26,,Chest,Cable Overhead Triceps Extension,4,48,1080.0,37
85,2015-12-26,,Chest,Close Grip Barbell Bench Press,4,48,4320.0,133
85,2015-12-26,,Shoulders,Hammer Strength Shoulder Press,4,47,2410.0,77
85,2015-12-26,,Shoulders,Overhead Press,4,33,2805.0,110
86,2015-12-28,,Legs,Barbell Squat,6,30,3750.0,180
86,2015-12-28,,Back,Deadlift,6,30,4130.0,182
86,2015-12-28,,Legs,Seated Calf Raise Machine,4,80,7200.0,150
87,2015-12-30,,Chest,Flat Barbell Bench Press,5,28,4330.0,192
87,2015-12-30,,Chest,Flat Dumbbell Bench Press,4,34,1420.0,60
87,2015-12-30,,Chest,Flat Dumbbell Fly,4,48,1680.0,49
87,2015-12-30,,Chest,Seated Machine Fly,4,48,4620.0,140
88,2016-01-02,,Back,Barbell Curl,5,46,2700.0,84
88,2016-01-02,,Back,Barbell Row,4,48,3840.0,119
88,2016-01-02,,Back,Cable Curl,4,48,1320.0,38
88,2016-01-02,,Back,Dumbbell Concentration Curl,1,12,180.0,21
88,2016-01-02,,Back,Lat Pulldown,3,36,4500.0,175
88,2016-01-02,,Back,Seated Back Extension,3,36,6300.0,259
88,2016-01-02,,Back,T-Bar Row,4,36,3240.0,126
89,2016-01-04,,Back,Barbell Shrug,4,48,4800.0,140
89,2016-01-04,,Chest,Cable Overhead Triceps Extension,5,51,1702.5,48
89,2016-01-04,,Chest,Close Grip Barbell Bench Press,6,50,5050.0,147
89,2016-01-04,,Shoulders,Hammer Strength Shoulder Press,4,48,3060.0,91
89,2016-01-04,,Shoulders,Lateral Dumbbell Raise,4,48,720.0,21
89,2016-01-04,,Shoulders,Overhead Press,4,29,2695.0,120
89,2016-01-04,,Chest,Rope Push Down,4,48,1200.0,38
90,2016-01-05,,Legs,Barbell Squat,5,28,4390.0,196
90,2016-01-05,,Back,Deadlift,5,25,3875.0,192
90,2016-01-05,,Legs,Seated Calf Raise Machine,4,80,8000.0,166
91,2016-01-10,,Chest,Decline Dumbbell Benchpress,4,48,1920.0,56
91,2016-01-10,,Chest,Flat Barbell Bench Press,5,27,4405.0,204
91,2016-01-10,,Chest,Flat Dumbbell Fly,4,48,1920.0,56
91,2016-01-10,,Chest,Seated Machine Fly,4,48,5040.0,147
92,2016-01-11,,Back,Barbell Curl,6,48,3156.0,93
92,2016-01-11,,Back,Barbell Row,3,36,3240.0,126
92,2016-01-11,,Back,Cable Curl,5,48,1455.0,45
92,2016-01-11,,Back,Dumbbell Concentration Curl,4,48,780.0,28
92,2016-01-11,,Back,Lat Pulldown,4,36,4860.0,189
92,2016-01-11,,Shoulders,Rear Delt Machine Fly,3,36,3060.0,133
92,2016-01-11,,Back,Seated Back Extension,3,36,5880.0,266
92,2016-01-11,,Abs,The Choi Ab Routine,1,1,1.0,1
93,2016-01-14,,Abs,The Choi Ab Routine,1,1,1.0,1
94,2016-01-21,,Back,Barbell Shrug,2,24,2640.0,154
94,2016-01-21,,Chest,Cable Overhead Triceps Extension,4,48,1620.0,52
94,2016-01-21,,Shoulders,Lateral Dumbbell Raise,4,48,720.0,21
94,2016-01-21,,Shoulders,Overhead Press,6,32,3120.0,126
94,2016-01-21,,Chest,Rope Push Down,4,48,1200.0,38
95,2016-02-04,,Chest,Decline Dumbbell Benchpress,4,32,1440.0,57
95,2016-02-04,,Chest,Flat Barbell Bench Press,5,30,4750.0,198
95,2016-02-04,,Chest,Flat Dumbbell Fly,5,50,2000.0,56
95,2016-02-04,,Chest,Seated Machine Fly,4,48,5460.0,161
96,2016-02-09,,Back,Barbell Curl,7,49,3200.0,98
96,2016-02-09,,Back,Lat Pulldown,4,31,4287.5,196
96,2016-02-09,,Shoulders,Rear Delt Machine Fly,3,33,3200.0,140
97,2016-02-16,,Legs,Barbell Squat,3,16,2160.0,171
97,2016-02-16,,Back,Deadlift,5,28,4320.0,192
97,2016-02-16,,Legs,Seated Calf Raise Machine,4,80,8000.0,166
98,2016-02-18,,Back,Barbell Shrug,4,48,5280.0,154
98,2016-02-18,,Shoulders,Hammer Strength Shoulder Press,4,34,2788.0,114
98,2016-02-18,,Shoulders,Overhead Press,4,22,2230.0,133
98,2016-02-18,,Chest,Rope Push Down,4,34,1514.0,63
99,2016-03-15,,Chest,Flat Barbell Bench Press,7,35,5850.0,210
100,2016-03-16,,Back,Barbell Curl,9,48,2915.0,97
101,2016-03-22,,Legs,Barbell Squat,7,35,6075.0,215
102,2016-03-24,,Chest,Flat Barbell Bench Press,9,37,6245.0,239
103,2016-03-31,,Back,Barbell Curl,9,62,3740.0,105
103,2016-03-31,,Back,Lat Pulldown,1,12,1680.0,196
104,2016-04-01,,Chest,Cable Overhead Triceps Extension,4,48,1620.0,52
104,2016-04-01,,Shoulders,Overhead Press,7,33,2975.0,120
104,2016-04-01,,Chest,Rope Push Down,4,48,2112.0,63
105,2016-04-05,,Legs,Barbell Squat,7,35,6200.0,221
105,2016-04-05,,Legs,Dumbbell Calf Raise,5,100,10000.0,166
105,2016-04-05,,Legs,Hip Abduction,3,30,5400.0,240
105,2016-04-05,,Legs,Hip Adduction,3,30,2700.0,120
106,2016-04-12,,Chest,Decline Dumbbell Benchpress,4,48,2160.0,63
106,2016-04-12,,Chest,Flat Barbell Bench Press,6,33,5655.0,221
106,2016-04-12,,Chest,Paramount Standing Machine Fly,4,40,2000.0,66
107,2016-04-13,,Back,Barbell Curl,9,47,2850.0,98
107,2016-04-13,,Back,Lat Pulldown,10,56,7800.0,210
107,2016-04-13,,Back,Seated Cable Row,5,40,3040.0,101
108,2016-04-15,,Legs,Barbell Squat,5,28,4855.0,233
108,2016-04-15,,Legs,Dumbbell Calf Raise,5,100,11000.0,183
108,2016-04-15,,Legs,Hip Abduction,4,40,7350.0,246
108,2016-04-15,,Legs,Hip Adduction,3,30,2850.0,126
109,2016-04-16,,Back,Barbell Shrug,4,48,5760.0,168
109,2016-04-16,,Shoulders,Overhead Press,5,32,3520.0,152
109,2016-04-16,,Chest,Paramount Cable Overhead Tricep Extension,4,33,1320.0,52
109,2016-04-16,,Chest,Paramount Rope Pushdown,5,48,2340.0,70
110,2016-04-19,,Legs,Barbell Squat,7,38,6980.0,239
110,2016-04-19,,Legs,Dumbbell Calf Raise,5,100,12000.0,200
110,2016-04-19,,Legs,Hip Abduction,3,30,5850.0,260
110,2016-04-19,,Legs,Hip Adduction,3,30,3000.0,133
111,2016-04-22,,Chest,Flat Barbell Bench Press,6,33,5755.0,227
111,2016-04-22,,Chest,Paramount Standing Machine Fly,4,40,2400.0,80
112,2016-04-23,,Back,Barbell Curl,1,12,540.0,63
112,2016-04-23,,Back,EZ-Bar Preacher Curl,5,26,1910.0,95
112,2016-04-23,,Back,Lat Pulldown,3,36,5040.0,210
113,2016-04-24,,Shoulders,Overhead Press,5,40,4440.0,152
114,2016-05-03,,Legs,Barbell Squat,7,38,7105.0,245
114,2016-05-03,,Legs,Dumbbell Calf Raise,5,100,12500.0,208
114,2016-05-03,,Legs,Hip Abduction,3,30,6000.0,266
114,2016-05-03,,Legs,Hip Adduction,3,30,3150.0,140
115,2016-05-16,,Legs,Barbell Squat,7,38,7230.0,250
115,2016-05-16,,Legs,Dumbbell Calf Raise,5,100,13000.0,216
115,2016-05-16,,Legs,Hip Adduction,4,40,4000.0,146
116,2016-05-17,,Chest,Decline Dumbbell Benchpress,4,44,2200.0,70
116,2016-05-17,,Chest,Flat Barbell Bench Press,7,38,6855.0,233
116,2016-05-17,,Chest,Seated Machine Fly,4,48,5760.0,168
117,2016-05-18,,Back,Cable Curl,4,48,1920.0,59
117,2016-05-18,,Back,EZ-Bar Preacher Curl,4,40,3000.0,100
117,2016-05-18,,Back,Lat Pulldown,6,36,5315.0,217
117,2016-05-18,,Shoulders,Rear Delt Machine Fly,3,36,3780.0,147
117,2016-05-18,,Back,Seated Cable Row,5,40,3300.0,110
118,2016-05-20,,Shoulders,Overhead Press,4,26,2470.0,120
118,2016-05-20,,Chest,Rope Push Down,4,48,2160.0,66
120,2016-05-24,,Chest,Decline Dumbbell Benchpress,4,48,2640.0,77
120,2016-05-24,,Chest,Flat Barbell Bench Press,7,30,5550.0,239
120,2016-05-24,,Chest,Seated Machine Fly,4,48,6000.0,175
121,2016-05-25,,Legs,Barbell Squat,7,35,6950.0,256
121,2016-05-25,,Legs,Dumbbell Calf Raise,5,100,13500.0,225
121,2016-05-25,,Legs,Hip Adduction,4,40,4150.0,153
123,2016-06-01,,Back,Cable Curl,4,48,2280.0,66
123,2016-06-01,,Back,EZ-Bar Preacher Curl,5,45,3550.0,106
123,2016-06-01,,Back,Lat Pulldown,4,28,4060.0,206
123,2016-06-01,,Shoulders,Rear Delt Machine Fly,3,36,3420.0,140
123,2016-06-01,,Back,Seated Cable Row,5,50,4700.0,133
124,2016-06-04,,Chest,Decline Cable Fly,4,48,1680.0,49
124,2016-06-04,,Chest,Flat Barbell Bench Press,8,34,6035.0,245
124,2016-06-04,,Chest,Seated Machine Fly,4,48,6180.0,182
125,2016-06-06,,Back,Barbell Shrug,4,48,6480.0,189
125,2016-06-06,,Chest,Cable Overhead Triceps Extension,4,48,1980.0,59
125,2016-06-06,,Chest,Close Grip Barbell Bench Press,5,60,6180.0,161
125,2016-06-06,,Shoulders,Hammer Strength Shoulder Press,4,48,4440.0,140
125,2016-06-06,,Chest,Rope Push Down,4,48,1920.0,56
126,2016-06-08,,Legs,Barbell Squat,7,38,7730.0,262
126,2016-06-08,,Legs,Dumbbell Calf Raise,5,100,14000.0,233
126,2016-06-08,,Legs,Hip Abduction,3,30,3500.0,160
126,2016-06-08,,Legs,Hip Adduction,4,40,4300.0,160
126,2016-06-08,,Abs,Undefined Ab Workout,1,1,1.0,1
127,2016-06-10,,Back,Cable Curl,4,48,2400.0,70
127,2016-06-10,,Back,EZ-Bar Preacher Curl,6,45,3775.0,113
127,2016-06-10,,Back,Lat Pulldown,3,24,3440.0,202
127,2016-06-10,,Shoulders,Rear Delt Machine Fly,3,36,3420.0,140
127,2016-06-10,,Back,Seated Cable Row,4,40,3975.0,160
128,2016-06-11,,Chest,Flat Barbell Bench Press,4,20,3450.0,250
129,2016-06-13,,Chest,Cable Overhead Triceps Extension,5,48,2280.0,66
129,2016-06-13,,Shoulders,Overhead Press,4,32,2720.0,107
129,2016-06-13,,Chest,Rope Push Down,4,48,2040.0,59
129,2016-06-13,,Abs,Undefined Ab Workout,1,1,1.0,1
130,2016-06-16,,Legs,Barbell Squat,8,41,8370.0,268
130,2016-06-16,,Legs,Dumbbell Calf Raise,5,100,15000.0,250
130,2016-06-16,,Legs,Hip Abduction,4,40,4900.0,173
130,2016-06-16,,Legs,Hip Adduction,4,40,4900.0,173
131,2016-06-18,,Chest,Decline Cable Fly,4,48,2160.0,63
131,2016-06-18,,Chest,Flat Barbell Bench Press,11,57,10180.0,250
131,2016-06-18,,Chest,Seated Machine Fly,4,47,6345.0,189
132,2016-06-22,,Back,Barbell Shrug,4,48,6720.0,196
132,2016-06-22,,Chest,Close Grip Barbell Bench Press,9,50,7290.0,209
132,2016-06-22,,Shoulders,Overhead Press,7,45,4340.0,126
132,2016-06-22,,Chest,Rope Push Down,4,48,2280.0,66
133,2016-06-23,,Back,EZ-Bar Preacher Curl,2,18,1430.0,107
133,2016-06-23,,Back,Lat Pulldown,4,40,6000.0,213
133,2016-06-23,,Back,Seated Cable Row,4,40,4500.0,166
133,2016-06-23,,Abs,Undefined Ab Workout,1,1,1.0,1
134,2016-06-24,,Legs,Barbell Squat,8,39,8325.0,282
135,2016-06-25,,Back,Deadlift,8,43,8905.0,268
135,2016-06-25,,Chest,Flat Barbell Bench Press,11,40,7505.0,256
135,2016-06-25,,Chest,Seated Machine Fly,4,48,6720.0,196
136,2016-06-29,,Back,Barbell Shrug,4,60,4800.0,120
136,2016-06-29,,Chest,Cable Overhead Triceps Extension,4,48,1560.0,45
136,2016-06-29,,Chest,Close Grip Barbell Bench Press,4,48,3840.0,112
136,2016-06-29,,Shoulders,Hammer Strength Shoulder Press,4,60,3300.0,82
136,2016-06-29,,Shoulders,Overhead Press,4,42,2100.0,70
136,2016-06-29,,Chest,Rope Push Down,4,48,1440.0,42
137,2016-06-30,,Legs,Barbell Squat,5,50,5500.0,146
137,2016-06-30,,Back,Deadlift,5,50,5750.0,153
137,2016-06-30,,Legs,Dumbbell Calf Raise,5,125,15000.0,220
137,2016-06-30,,Legs,Hip Abduction,6,85,6250.0,133
137,2016-06-30,,Legs,Hip Adduction,6,85,6250.0,133
138,2016-07-01,,Back,EZ-Bar Preacher Curl,5,60,2700.0,63
138,2016-07-01,,Back,Lat Pulldown,5,60,5100.0,119
138,2016-07-01,,Shoulders,Rear Delt Machine Fly,5,75,4500.0,90
138,2016-07-01,,Back,Seated Cable Row,6,85,6100.0,113
139,2016-07-02,,Chest,Flat Barbell Bench Press,6,55,5675.0,157
139,2016-07-02,,Chest,Seated Machine Fly,5,75,6000.0,120
140,2016-07-04,,Chest,Close Grip Barbell Bench Press,8,34,5610.0,203
140,2016-07-04,,Shoulders,Overhead Press,9,43,4090.0,133
141,2016-07-05,,Legs,Barbell Squat,9,38,8430.0,280
141,2016-07-05,,Back,Deadlift,6,28,6550.0,274
141,2016-07-05,,Legs,Dumbbell Calf Raise,5,100,16000.0,266
141,2016-07-05,,Legs,Hip Abduction,4,46,5680.0,182
141,2016-07-05,,Legs,Hip Adduction,4,46,5680.0,182
141,2016-07-05,,Legs,Seated Leg Curl Machine,3,24,2760.0,145
141,2016-07-05,,Abs,Undefined Ab Workout,1,1,1.0,1
142,2016-07-06,,Back,Cable Curl,7,48,2640.0,77
142,2016-07-06,,Back,EZ-Bar Preacher Curl,8,41,3585.0,120
142,2016-07-06,,Back,Lat Pulldown,4,40,6150.0,220
142,2016-07-06,,Shoulders,Rear Delt Machine Fly,3,36,3960.0,154
142,2016-07-06,,Back,Seated Cable Row,4,40,5200.0,173
143,2016-07-09,,Chest,Flat Barbell Bench Press,13,41,7685.0,262
144,2016-07-11,,Back,Barbell Shrug,4,48,6960.0,203
144,2016-07-11,,Chest,Cable Overhead Triceps Extension,7,48,2400.0,70
144,2016-07-11,,Shoulders,Hammer Strength Shoulder Press,4,48,5640.0,175
144,2016-07-11,,Shoulders,Overhead Press,8,50,4730.0,140
144,2016-07-11,,Chest,Rope Push Down,4,48,2400.0,70
145,2016-07-14,,Legs,Barbell Squat,9,39,8645.0,285
145,2016-07-14,,Back,Deadlift,5,25,6100.0,285
145,2016-07-14,,Legs,Dumbbell Calf Raise,5,100,17000.0,283
146,2016-07-15,,Back,Assisted Pull Ups,5,25,975.0,45
146,2016-07-15,,Back,EZ-Bar Preacher Curl,10,60,5400.0,126
146,2016-07-15,,Back,Seated Cable Row,4,40,5000.0,166
147,2016-07-16,,Chest,Decline Cable Fly,4,48,2400.0,70
147,2016-07-16,,Chest,Decline Dumbbell Benchpress,4,48,2580.0,84
147,2016-07-16,,Chest,Flat Barbell Bench Press,9,57,9795.0,262
147,2016-07-16,,Chest,Seated Machine Fly,5,48,6960.0,203
147,2016-07-16,,Abs,Undefined Ab Workout,1,1,1.0,1
148,2016-07-18,,Shoulders,Overhead Press,9,46,4965.0,152
149,2016-07-19,,Legs,Barbell Squat,8,42,9340.0,300
149,2016-07-19,,Back,Deadlift,5,25,6250.0,291
149,2016-07-19,,Legs,Dumbbell Calf Raise,5,100,18000.0,300
149,2016-07-19,,Legs,Hip Abduction,4,44,5590.0,189
149,2016-07-19,,Legs,Hip Adduction,4,44,5590.0,189
149,2016-07-19,,Legs,Seated Leg Curl Machine,3,24,3120.0,164
150,2016-07-22,,Forearms,Forearm Curls,5,100,2000.0,33
150,2016-07-22,,Forearms,Reverse Forearm Curls,5,100,2000.0,33
151,2016-07-25,,Legs,Barbell Squat,8,36,8410.0,306
151,2016-07-25,,Back,Deadlift,5,25,6375.0,297
151,2016-07-25,,Legs,Dumbbell Calf Raise,5,100,19000.0,316
151,2016-07-25,,Legs,Hip Abduction,4,40,5200.0,186
151,2016-07-25,,Legs,Hip Adduction,4,40,5200.0,186
151,2016-07-25,,Legs,Seated Leg Curl Machine,3,24,3240.0,171
152,2016-07-27,,Back,Barbell Shrug,4,48,7200.0,210
152,2016-07-27,,Shoulders,Lateral Dumbbell Raise,4,32,600.0,25
