id,date,weekday,last_workout_date,last_category_date,category,primary_lift,volume,mean_reps,completion_rate,age
91,2016-01-10,Sunday,5 days 00:00:00.000000000,6 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,13285.0,10.058823529411764,1.0,21
92,2016-01-11,Monday,1 days 00:00:00.000000000,9 days 00:00:00.000000000,Back,Seated Back Extension,22432.0,9.96551724137931,1.0,21
93,2016-01-14,Thursday,3 days 00:00:00.000000000,302 days 00:00:00.000000000,Abs,The Choi Ab Routine,1.0,1.0,1.0,21
94,2016-01-21,Thursday,7 days 00:00:00.000000000,10 days 00:00:00.000000000,Back,Barbell Shrug,9300.0,10.0,1.0,21
95,2016-02-04,Thursday,14 days 00:00:00.000000000,25 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,13650.0,8.88888888888889,1.0,21
96,2016-02-09,Tuesday,5 days 00:00:00.000000000,19 days 00:00:00.000000000,Back,Lat Pulldown,10687.5,8.071428571428571,1.0,21
97,2016-02-16,Tuesday,7 days 00:00:00.000000000,42 days 00:00:00.000000000,Legs,Deadlift,14480.0,12.75,0.75,21
98,2016-02-18,Thursday,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Back,Barbell Shrug,11812.0,8.625,1.0,21
99,2016-03-15,Tuesday,26 days 00:00:00.000000000,40 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,5850.0,5.0,1.0,21
100,2016-03-16,Wednesday,1 days 00:00:00.000000000,27 days 00:00:00.000000000,Back,Barbell Curl,2915.0,5.333333333333333,1.0,21
101,2016-03-22,Tuesday,6 days 00:00:00.000000000,35 days 00:00:00.000000000,Legs,Barbell Squat,6075.0,5.0,1.0,21
102,2016-03-24,Thursday,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,6245.0,4.111111111111111,1.0,21
103,2016-03-31,Thursday,7 days 00:00:00.000000000,15 days 00:00:00.000000000,Back,Lat Pulldown,5420.0,7.4,1.0,21
104,2016-04-01,Friday,1 days 00:00:00.000000000,595 days 00:00:00.000000000,Shoulders,Overhead Press,6707.0,8.6,1.0,21
105,2016-04-05,Tuesday,4 days 00:00:00.000000000,14 days 00:00:00.000000000,Legs,Barbell Squat,24300.0,10.833333333333334,1.0,21
106,2016-04-12,Tuesday,7 days 00:00:00.000000000,19 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,9815.0,8.642857142857142,1.0,21
107,2016-04-13,Wednesday,1 days 00:00:00.000000000,13 days 00:00:00.000000000,Back,Lat Pulldown,13690.0,5.958333333333333,1.0,21
108,2016-04-15,Friday,2 days 00:00:00.000000000,10 days 00:00:00.000000000,Legs,Barbell Squat,26055.0,11.647058823529411,1.0,21
109,2016-04-16,Saturday,1 days 00:00:00.000000000,3 days 00:00:00.000000000,Back,Barbell Shrug,12940.0,8.944444444444445,1.0,21
110,2016-04-19,Tuesday,3 days 00:00:00.000000000,4 days 00:00:00.000000000,Legs,Barbell Squat,27830.0,11.0,1.0,21
111,2016-04-22,Friday,3 days 00:00:00.000000000,10 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,8155.0,7.3,1.0,21
112,2016-04-23,Saturday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Back,Lat Pulldown,7490.0,8.222222222222221,1.0,21
113,2016-04-24,Sunday,1 days 00:00:00.000000000,23 days 00:00:00.000000000,Shoulders,Overhead Press,4440.0,8.0,1.0,21
114,2016-05-03,Tuesday,9 days 00:00:00.000000000,14 days 00:00:00.000000000,Legs,Barbell Squat,28755.0,11.0,1.0,21
115,2016-05-16,Monday,13 days 00:00:00.000000000,13 days 00:00:00.000000000,Legs,Barbell Squat,24230.0,11.125,1.0,21
116,2016-05-17,Tuesday,1 days 00:00:00.000000000,25 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,14815.0,8.666666666666666,1.0,21
117,2016-05-18,Wednesday,1 days 00:00:00.000000000,25 days 00:00:00.000000000,Back,Lat Pulldown,17315.0,9.090909090909092,1.0,21
118,2016-05-20,Friday,2 days 00:00:00.000000000,26 days 00:00:00.000000000,Shoulders,Overhead Press,4630.0,9.25,1.0,21
119,2016-05-23,Monday,3 days 00:00:00.000000000,151 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,21
120,2016-05-24,Tuesday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,14190.0,8.4,1.0,21
121,2016-05-25,Wednesday,1 days 00:00:00.000000000,9 days 00:00:00.000000000,Legs,Barbell Squat,24600.0,10.9375,1.0,21
122,2016-05-26,Thursday,1 days 00:00:00.000000000,3 days 00:00:00.000000000,Cardio,Cardio,0.0,,1.0,21
123,2016-06-01,Wednesday,6 days 00:00:00.000000000,14 days 00:00:00.000000000,Back,Lat Pulldown,18010.0,9.857142857142858,1.0,21
124,2016-06-04,Saturday,3 days 00:00:00.000000000,11 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,13895.0,8.125,1.0,21
125,2016-06-06,Monday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Back,Barbell Shrug,21000.0,12.0,1.0,21
126,2016-06-08,Wednesday,2 days 00:00:00.000000000,14 days 00:00:00.000000000,Legs,Barbell Squat,29531.0,10.45,1.0,21
127,2016-06-10,Friday,2 days 00:00:00.000000000,4 days 00:00:00.000000000,Back,Lat Pulldown,17010.0,9.65,1.0,21
128,2016-06-11,Saturday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,3450.0,5.0,1.0,21
129,2016-06-13,Monday,2 days 00:00:00.000000000,24 days 00:00:00.000000000,Shoulders,Overhead Press,7041.0,9.214285714285714,1.0,21
130,2016-06-16,Thursday,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Barbell Squat,33170.0,10.523809523809524,1.0,21
131,2016-06-18,Saturday,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,18685.0,8.0,1.0,21
