date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day
2016-06-30,220.0,14.62962962962963,n/a,1.0,38750.0,120.0,Legs
2016-07-01,119.0,13.333333333333334,n/a,1.0,18400.0,85.0,Back
2016-07-02,157.5,11.818181818181818,n/a,1.0,11675.0,135.0,Chest
2016-07-04,203.5,4.529411764705882,n/a,1.0,9700.0,165.0,Shoulders
2016-07-05,280.0,9.096774193548388,n/a,1.0,45100.0,240.0,Legs
2016-07-06,220.0,7.884615384615385,n/a,1.0,21535.0,165.0,Back
2016-07-09,262.5,3.1538461538461537,n/a,1.0,7685.0,225.0,Chest
2016-07-11,203.0,8.962962962962964,n/a,1.0,22130.0,145.0,Shoulders
2016-07-14,285.8333333333333,8.631578947368421,n/a,1.0,31745.0,245.0,Legs
2016-07-15,166.66666666666666,7.142857142857143,n/a,1.0,10400.0,125.0,Back
2016-07-16,262.5,9.136363636363637,n/a,1.0,21735.0,225.0,Chest
2016-07-18,152.0,5.111111111111111,n/a,1.0,4965.0,130.0,Shoulders
2016-07-19,300.0,9.620689655172415,n/a,1.0,47890.0,250.0,Legs
2016-07-22,33.333333333333336,20.0,n/a,1.0,4000.0,20.0,Forearms
2016-07-25,316.6666666666667,9.137931034482758,n/a,1.0,47425.0,255.0,Legs
2016-07-27,210.0,8.0,n/a,1.0,12760.0,150.0,Shoulders
2016-07-28,41.66666666666667,20.0,n/a,1.0,2500.0,25.0,Forearms
2016-08-02,325.0,9.1,n/a,1.0,50255.0,265.0,Legs
2016-08-03,180.0,10.476190476190476,n/a,1.0,10625.0,135.0,Back
2016-08-06,233.33333333333334,5.0,n/a,1.0,7375.0,200.0,Chest
2016-08-08,217.0,9.533333333333333,n/a,1.0,18755.0,155.0,Shoulders
2016-08-09,333.33333333333337,10.181818181818182,n/a,1.0,41240.0,265.0,Legs
2016-08-10,154.0,10.842105263157896,n/a,1.0,8910.0,110.0,Forearms
2016-08-12,239.16666666666666,9.791666666666666,n/a,1.0,22665.0,205.0,Chest
2016-08-15,341.66666666666663,10.571428571428571,n/a,1.0,41830.0,265.0,Legs
2016-08-16,224.0,8.8,n/a,1.0,12210.0,160.0,Shoulders
2016-08-17,161.0,7.571428571428571,n/a,1.0,5665.0,115.0,Back
2016-08-22,245.0,8.9,n/a,1.0,19535.0,210.0,Chest
2016-08-24,350.0,10.275862068965518,n/a,1.0,47500.0,270.0,Legs
2016-08-25,231.0,8.352941176470589,n/a,1.0,19510.0,165.0,Shoulders
2016-08-27,250.83333333333334,5.666666666666667,n/a,1.0,8580.0,215.0,Chest
2016-08-30,164.66666666666666,6.083333333333333,n/a,1.0,4329.0,130.0,Shoulders
2016-09-01,358.33333333333337,10.428571428571429,n/a,1.0,32150.0,275.0,Legs
2016-09-02,250.83333333333334,8.142857142857142,n/a,1.0,11785.0,215.0,Chest
2016-09-05,164.66666666666666,7.2727272727272725,n/a,1.0,5284.0,130.0,Shoulders
2016-09-07,375.0,10.217391304347826,n/a,1.0,36235.0,280.0,Legs
2016-09-10,256.6666666666667,6.92,n/a,1.0,12310.0,220.0,Chest
2016-09-12,171.0,7.833333333333333,n/a,1.0,6415.0,135.0,Shoulders
2016-09-15,383.33333333333337,10.772727272727273,n/a,1.0,36158.0,285.0,Legs
2016-09-19,171.0,7.666666666666667,n/a,1.0,6792.0,135.0,Shoulders
2016-09-20,391.66666666666663,10.909090909090908,n/a,1.0,37006.0,285.0,Legs
2016-09-26,171.0,7.944444444444445,n/a,1.0,7027.0,135.0,Shoulders
