date,routine,category,exercise,sets,reps,avg_intensity,volume,relative_volume
2016-01-02,,Biceps,Barbell Curl,5,46,0.698,2700.0,1876.0
2016-01-02,,Back,Barbell Row,4,48,0.6699999999999999,3840.0,2601.0
2016-01-02,,Biceps,Cable Curl,4,48,0.72,1320.0,948.0
2016-01-02,,Biceps,Dumbbell Concentration Curl,1,12,0.71,180.0,127.0
2016-01-02,,Back,Lat Pulldown,3,36,0.71,4500.0,3195.0
2016-01-02,,Back,Seated Back Extension,3,36,0.6766666666666667,6300.0,4268.0
2016-01-02,,Back,T-Bar Row,4,36,0.71,3240.0,2298.0
2016-01-04,,Back,Barbell Shrug,4,48,0.71,4800.0,3408.0
2016-01-04,,Triceps,Cable Overhead Triceps Extension,5,51,0.682,1702.5,1158.0
2016-01-04,,Triceps,Close Grip Barbell Bench Press,6,50,0.68,5050.0,3468.0
2016-01-04,,Shoulders,Hammer Strength Shoulder Press,4,48,0.6975,3060.0,2134.0
2016-01-04,,Shoulders,Lateral Dumbbell Raise,4,48,0.71,720.0,508.0
2016-01-04,,Shoulders,Overhead Press,4,29,0.77,2695.0,2087.0
2016-01-04,,Triceps,Rope Push Down,4,48,0.6549999999999999,1200.0,792.0
2016-01-05,,Legs,Barbell Squat,5,28,0.7999999999999999,4390.0,3523.0
2016-01-05,,Back,Deadlift,5,25,0.808,3875.0,3144.0
2016-01-05,,Legs,Seated Calf Raise Machine,4,80,0.6,8000.0,4800.0
2016-01-10,,Chest,Decline Dumbbell Bench Press,4,48,0.71,1920.0,1360.0
2016-01-10,,Chest,Flat Barbell Bench Press,5,27,0.82,4405.0,3570.0
2016-01-10,,Chest,Flat Dumbbell Fly,4,48,0.71,1920.0,1360.0
2016-01-10,,Chest,Seated Machine Fly,4,48,0.69,5040.0,3476.0
2016-01-11,,Biceps,Barbell Curl,6,48,0.685,3156.0,2199.0
2016-01-11,,Back,Barbell Row,3,36,0.71,3240.0,2298.0
2016-01-11,,Biceps,Cable Curl,5,48,0.666,1455.0,967.0
2016-01-11,,Biceps,Dumbbell Concentration Curl,4,48,0.5825,780.0,461.0
2016-01-11,,Back,Lat Pulldown,4,36,0.71,4860.0,3449.0
2016-01-11,,Shoulders,Rear Delt Machine Fly,3,36,0.6366666666666667,3060.0,1965.0
2016-01-11,,Back,Seated Back Extension,3,36,0.61,5880.0,3634.0
2016-01-11,,Abs,The Choi Ab Routine,1,1,1.0,1.0,1.0
2016-01-14,,Abs,The Choi Ab Routine,1,1,1.0,1.0,1.0
2016-01-21,,Back,Barbell Shrug,2,24,0.71,2640.0,1874.0
2016-01-21,,Triceps,Cable Overhead Triceps Extension,4,48,0.645,1620.0,1047.0
2016-01-21,,Shoulders,Lateral Dumbbell Raise,4,48,0.71,720.0,508.0
2016-01-21,,Shoulders,Overhead Press,6,32,0.7633333333333333,3120.0,2402.0
2016-01-21,,Triceps,Rope Push Down,4,48,0.6549999999999999,1200.0,792.0
2016-02-04,,Chest,Decline Dumbbell Bench Press,4,32,0.79,1440.0,1136.0
2016-02-04,,Chest,Flat Barbell Bench Press,5,30,0.796,4750.0,3711.0
2016-02-04,,Chest,Flat Dumbbell Fly,5,50,0.71,2000.0,1418.0
2016-02-04,,Chest,Seated Machine Fly,4,48,0.7025,5460.0,3834.0
2016-02-09,,Biceps,Barbell Curl,7,49,0.6671428571428571,3200.0,2126.0
2016-02-09,,Back,Lat Pulldown,4,31,0.7025,4287.5,3014.0
2016-02-09,,Shoulders,Rear Delt Machine Fly,3,33,0.6866666666666666,3200.0,2209.0
2016-02-16,,Legs,Barbell Squat,3,16,0.79,2160.0,1705.0
2016-02-16,,Back,Deadlift,5,28,0.8140000000000001,4320.0,3489.0
2016-02-16,,Legs,Seated Calf Raise Machine,4,80,0.6,8000.0,4800.0
2016-02-18,,Back,Barbell Shrug,4,48,0.71,5280.0,3748.0
2016-02-18,,Shoulders,Hammer Strength Shoulder Press,4,34,0.71,2788.0,1977.0
2016-02-18,,Shoulders,Overhead Press,4,22,0.77,2230.0,1698.0
2016-02-18,,Triceps,Rope Push Down,4,34,0.695,1514.0,1063.0
2016-03-15,,Chest,Flat Barbell Bench Press,7,35,0.7942857142857144,5850.0,4683.0
2016-03-16,,Biceps,Barbell Curl,9,48,0.6233333333333333,2915.0,1862.0
2016-03-22,,Legs,Barbell Squat,7,35,0.8057142857142857,6075.0,4951.0
2016-03-24,,Chest,Flat Barbell Bench Press,9,37,0.7211111111111111,6245.0,4475.0
2016-03-31,,Biceps,Barbell Curl,9,62,0.5900000000000001,3740.0,2270.0
2016-03-31,,Back,Lat Pulldown,1,12,0.71,1680.0,1192.0
2016-04-01,,Triceps,Cable Overhead Triceps Extension,4,48,0.645,1620.0,1047.0
2016-04-01,,Shoulders,Overhead Press,7,33,0.7557142857142857,2975.0,2239.0
2016-04-01,,Triceps,Rope Push Down,4,48,0.695,2112.0,1468.0
2016-04-05,,Legs,Barbell Squat,7,35,0.8014285714285715,6200.0,5038.0
2016-04-05,,Legs,Dumbbell Calf Raise,5,100,0.6,10000.0,6000.0
2016-04-05,,Legs,Hip Abduction,3,30,0.75,5400.0,4050.0
2016-04-05,,Legs,Hip Adduction,3,30,0.75,2700.0,2025.0
2016-04-12,,Chest,Decline Dumbbell Bench Press,4,48,0.71,2160.0,1532.0
2016-04-12,,Chest,Flat Barbell Bench Press,6,33,0.7283333333333334,5655.0,4107.0
2016-04-12,,Chest,Paramount Standing Machine Fly,4,40,0.75,2000.0,1500.0
2016-04-13,,Biceps,Barbell Curl,9,47,0.63,2850.0,1764.0
2016-04-13,,Back,Lat Pulldown,10,56,0.663,7800.0,5195.0
2016-04-13,,Back,Seated Cable Row,5,40,0.75,3040.0,2303.0
2016-04-15,,Legs,Barbell Squat,5,28,0.7659999999999999,4855.0,3725.0
2016-04-15,,Legs,Dumbbell Calf Raise,5,100,0.6,11000.0,6600.0
2016-04-15,,Legs,Hip Abduction,4,40,0.745,7350.0,5475.0
2016-04-15,,Legs,Hip Adduction,3,30,0.75,2850.0,2136.0
2016-04-16,,Back,Barbell Shrug,4,48,0.71,5760.0,4088.0
2016-04-16,,Shoulders,Overhead Press,5,32,0.7219999999999999,3520.0,2561.0
2016-04-16,,Triceps,Paramount Cable Overhead Tricep Extension,4,33,0.77,1320.0,1015.0
2016-04-16,,Triceps,Paramount Rope Pushdown,5,48,0.696,2340.0,1622.0
2016-04-19,,Legs,Barbell Squat,7,38,0.7871428571428571,6980.0,5512.0
2016-04-19,,Legs,Dumbbell Calf Raise,5,100,0.6,12000.0,7200.0
2016-04-19,,Legs,Hip Abduction,3,30,0.75,5850.0,4386.0
2016-04-19,,Legs,Hip Adduction,3,30,0.75,3000.0,2250.0
2016-04-22,,Chest,Flat Barbell Bench Press,6,33,0.7483333333333332,5755.0,4303.0
2016-04-22,,Chest,Paramount Standing Machine Fly,4,40,0.75,2400.0,1800.0
2016-04-23,,Biceps,Barbell Curl,1,12,0.43,540.0,232.0
2016-04-23,,Biceps,EZ-Bar Preacher Curl,5,26,0.78,1910.0,1479.0
2016-04-23,,Back,Lat Pulldown,3,36,0.6633333333333332,5040.0,3376.0
2016-04-24,,Shoulders,Overhead Press,5,40,0.728,4440.0,3253.0
2016-05-03,,Legs,Barbell Squat,7,38,0.7828571428571429,7105.0,5597.0
2016-05-03,,Legs,Dumbbell Calf Raise,5,100,0.6,12500.0,7500.0
2016-05-03,,Legs,Hip Abduction,3,30,0.75,6000.0,4500.0
2016-05-03,,Legs,Hip Adduction,3,30,0.75,3150.0,2361.0
2016-05-16,,Legs,Barbell Squat,7,38,0.78,7230.0,5683.0
2016-05-16,,Legs,Dumbbell Calf Raise,5,100,0.6,13000.0,7800.0
2016-05-16,,Legs,Hip Adduction,4,40,0.6825,4000.0,2811.0
2016-05-17,,Chest,Decline Dumbbell Bench Press,4,44,0.71,2200.0,1562.0
2016-05-17,,Chest,Flat Barbell Bench Press,7,38,0.7928571428571428,6855.0,5445.0
2016-05-17,,Chest,Seated Machine Fly,4,48,0.71,5760.0,4088.0
2016-05-18,,Biceps,Cable Curl,4,48,0.68,1920.0,1310.0
2016-05-18,,Biceps,EZ-Bar Preacher Curl,4,40,0.75,3000.0,2248.0
2016-05-18,,Back,Lat Pulldown,6,36,0.6749999999999999,5315.0,3616.0
2016-05-18,,Shoulders,Rear Delt Machine Fly,3,36,0.71,3780.0,2682.0
2016-05-18,,Back,Seated Cable Row,5,40,0.744,3300.0,2492.0
2016-05-20,,Shoulders,Overhead Press,4,26,0.62,2470.0,1530.0
2016-05-20,,Triceps,Rope Push Down,4,48,0.68,2160.0,1472.0
2016-05-24,,Chest,Decline Dumbbell Bench Press,4,48,0.71,2640.0,1872.0
